booking_id,customer_id,service_id,customer_name,phone,email,payment_status,payment_id,payment_amount,payment_method,customer_rating,scheduled_date,payment_date
49,9,1,Gabrielle Davis,0725534192,gabrielledavis@gmail.com,COMPLETED,21.0,150.0,Transfer,3.0,2026-01-29 02:38:42,2026-01-29 03:00:48
50,26,3,Judy Baker,0838347382,judybaker@gmail.com,PENDING,,,,,2026-03-16 01:22:31,
51,2,3,Noah Rhodes,0839600133,noahrhodes@gmail.com,COMPLETED,22.0,300.0,Transfer,3.0,2026-02-18 22:10:56,2026-02-18 22:33:02
52,20,3,Carla Gray,0821543039,carlagray@gmail.com,CANCELLED,,,,,2026-02-25 13:41:53,
53,28,2,Stephanie Ross,0766670106,stephanieross@gmail.com,CANCELLED,,,,,2026-03-18 12:21:19,
54,47,3,John Pierce,0726204505,johnpierce@gmail.com,PENDING,,,,,2026-02-09 03:05:32,
55,7,3,Abigail Shaffer,0749593103,abigailshaffer@gmail.com,PENDING,,,,,2026-01-28 05:06:09,
56,44,3,Anthony Humphrey,0794016400,anthonyhumphrey@gmail.com,PENDING,,,,,2026-01-25 21:48:21,
57,8,3,Gina Moore,0741316475,ginamoore@gmail.com,COMPLETED,23.0,300.0,Card,1.0,2026-02-12 14:04:08,2026-02-12 14:26:14
58,47,1,John Pierce,0726204505,johnpierce@gmail.com,COMPLETED,24.0,150.0,Transfer,5.0,2026-02-18 13:21:01,2026-02-20 13:43:07
59,35,1,Debra Davidson,0820978820,debradavidson@gmail.com,PENDING,,,,,2026-01-29 04:57:22,
60,14,3,Michele Williams,0763287101,michelewilliams@gmail.com,CANCELLED,,,,,2026-02-13 01:28:10,
61,17,2,Holly Wood,0761462704,hollywood@gmail.com,COMPLETED,25.0,220.0,Cash,1.0,2026-01-31 06:22:40,2026-01-31 06:44:46
62,36,1,Jeffrey Chavez,0832191361,jeffreychavez@gmail.com,COMPLETED,26.0,150.0,Card,2.0,2026-02-27 08:47:08,2026-02-28 09:09:14
63,50,3,Eric Carney,0734216073,ericcarney@gmail.com,COMPLETED,27.0,300.0,Card,1.0,2026-02-17 10:45:10,2026-02-17 11:07:16
64,40,1,Brittany Farmer,0831838425,brittanyfarmer@gmail.com,PENDING,,,,,2026-03-06 11:33:00,
65,4,1,Daniel Wagner,0740265423,danielwagner@gmail.com,PENDING,,,,,2026-02-25 21:08:53,
66,2,2,Noah Rhodes,0839600133,noahrhodes@gmail.com,PENDING,,,,,2026-02-06 06:02:20,
67,6,3,Connie Lawrence,0740781618,connielawrence@gmail.com,PENDING,,,,,2026-02-26 09:36:42,
68,42,3,Fred Smith,0828412411,fredsmith@gmail.com,PENDING,,,,,2026-02-24 22:52:05,
69,4,2,Daniel Wagner,0740265423,danielwagner@gmail.com,CANCELLED,,,,,2026-02-10 19:12:51,
70,29,2,Zachary Hicks,0761333872,zacharyhicks@gmail.com,CANCELLED,,,,,2026-02-16 09:07:51,
71,18,3,Derek Zuniga,0728148932,derekzuniga@gmail.com,PENDING,,,,,2026-01-28 09:24:26,
72,26,3,Judy Baker,0838347382,judybaker@gmail.com,COMPLETED,28.0,300.0,Cash,3.0,2026-03-21 14:24:20,2026-03-23 14:46:26
73,44,2,Anthony Humphrey,0794016400,anthonyhumphrey@gmail.com,PENDING,,,,,2026-02-07 01:48:34,
74,34,1,Nathan Maldonado,0734309805,nathanmaldonado@gmail.com,CANCELLED,,,,,2026-03-14 07:39:49,
75,10,1,Ryan Munoz,0732764835,ryanmunoz@gmail.com,CANCELLED,,,,,2026-02-14 05:28:41,
76,36,2,Jeffrey Chavez,0832191361,jeffreychavez@gmail.com,COMPLETED,29.0,220.0,Cash,1.0,2026-02-06 07:46:58,2026-02-06 08:09:04
77,14,1,Michele Williams,0763287101,michelewilliams@gmail.com,CANCELLED,,,,,2026-03-07 08:10:18,
78,31,2,Rebecca Henderson,0830801326,rebeccahenderson@gmail.com,PENDING,,,,,2026-02-27 07:13:21,
79,48,1,Shane Henderson,0733158692,shanehenderson@gmail.com,COMPLETED,30.0,150.0,Card,5.0,2026-02-16 16:03:05,2026-02-18 16:25:11
80,15,1,Dylan Miller,0722691669,dylanmiller@gmail.com,PENDING,,,,,2026-03-16 12:48:52,
81,8,3,Gina Moore,0741316475,ginamoore@gmail.com,PENDING,,,,,2026-02-11 18:46:04,
82,14,3,Michele Williams,0763287101,michelewilliams@gmail.com,COMPLETED,31.0,300.0,Transfer,4.0,2026-02-21 22:39:39,2026-02-23 23:01:45
83,23,1,Ethan Adams,0746578713,ethanadams@gmail.com,PENDING,,,,,2026-01-26 21:22:20,
84,40,1,Brittany Farmer,0831838425,brittanyfarmer@gmail.com,CANCELLED,,,,,2026-02-12 16:44:53,
85,21,3,Margaret Hawkins DDS,0831718227,margaretdds@gmail.com,PENDING,,,,,2026-01-24 13:49:35,
86,16,3,Brian Ramirez,0798480184,brianramirez@gmail.com,COMPLETED,32.0,300.0,Card,1.0,2026-02-21 02:05:10,2026-02-21 02:27:16
87,45,3,Angelica Tucker,0762427868,angelicatucker@gmail.com,COMPLETED,33.0,300.0,Cash,5.0,2026-03-01 09:48:33,2026-03-02 10:10:39
88,18,2,Derek Zuniga,0728148932,derekzuniga@gmail.com,COMPLETED,34.0,220.0,Card,5.0,2026-02-16 10:54:32,2026-02-18 11:16:38
89,47,1,John Pierce,0726204505,johnpierce@gmail.com,PENDING,,,,,2026-01-27 21:15:29,
90,24,3,Tommy Walter,0731509839,tommywalter@gmail.com,COMPLETED,35.0,300.0,Cash,3.0,2026-02-10 22:39:11,2026-02-10 23:01:17
91,26,1,Judy Baker,0838347382,judybaker@gmail.com,COMPLETED,36.0,150.0,Card,5.0,2026-03-17 12:39:10,2026-03-17 13:01:16
92,25,2,Matthew Foster,0730103105,matthewfoster@gmail.com,PENDING,,,,,2026-02-21 00:16:48,
93,45,2,Angelica Tucker,0762427868,angelicatucker@gmail.com,CANCELLED,,,,,2026-02-11 02:28:59,
94,41,3,Paula Moreno,0833542784,paulamoreno@gmail.com,PENDING,,,,,2026-03-10 22:19:14,
95,29,2,Zachary Hicks,0761333872,zacharyhicks@gmail.com,COMPLETED,37.0,220.0,Transfer,5.0,2026-02-28 20:54:59,2026-03-01 21:17:05
96,15,1,Dylan Miller,0722691669,dylanmiller@gmail.com,COMPLETED,38.0,150.0,Card,5.0,2026-03-07 00:13:47,2026-03-09 00:35:53
97,45,3,Angelica Tucker,0762427868,angelicatucker@gmail.com,PENDING,,,,,2026-02-04 07:56:32,
98,1,1,Allison Hill,0830433218,allisonhill@gmail.com,CANCELLED,,,,,2026-02-16 04:14:34,
99,25,1,Matthew Foster,0730103105,matthewfoster@gmail.com,COMPLETED,39.0,150.0,Card,5.0,2026-02-04 00:23:23,2026-02-06 00:45:29
100,7,2,Abigail Shaffer,0749593103,abigailshaffer@gmail.com,COMPLETED,40.0,220.0,Cash,2.0,2026-02-14 09:42:40,2026-02-14 10:04:46
101,9,2,Gabrielle Davis,0725534192,gabrielledavis@gmail.com,COMPLETED,41.0,220.0,Cash,2.0,2026-03-16 23:06:36,2026-03-16 23:28:42
102,24,2,Tommy Walter,0731509839,tommywalter@gmail.com,PENDING,,,,,2026-03-14 18:56:08,
103,1,2,Allison Hill,0830433218,allisonhill@gmail.com,COMPLETED,42.0,220.0,Cash,3.0,2026-02-15 23:15:35,2026-02-16 23:37:41
104,44,2,Anthony Humphrey,0794016400,anthonyhumphrey@gmail.com,CANCELLED,,,,,2026-03-19 05:12:41,
105,8,3,Gina Moore,0741316475,ginamoore@gmail.com,COMPLETED,43.0,300.0,Card,1.0,2026-03-04 01:21:02,2026-03-05 01:43:08
106,24,1,Tommy Walter,0731509839,tommywalter@gmail.com,COMPLETED,44.0,150.0,Transfer,5.0,2026-03-19 02:45:27,2026-03-21 03:07:33
107,11,1,Monica Herrera,0823056413,monicaherrera@gmail.com,CANCELLED,,,,,2026-03-01 05:41:53,
108,17,1,Holly Wood,0761462704,hollywood@gmail.com,COMPLETED,45.0,150.0,Cash,1.0,2026-02-25 14:32:25,2026-02-27 14:54:31
109,8,1,Gina Moore,0741316475,ginamoore@gmail.com,PENDING,,,,,2026-02-11 18:04:54,
110,35,2,Debra Davidson,0820978820,debradavidson@gmail.com,PENDING,,,,,2026-02-03 21:21:49,
111,35,1,Debra Davidson,0820978820,debradavidson@gmail.com,PENDING,,,,,2026-03-11 22:18:35,
112,33,3,Tricia Valencia,0784746872,triciavalencia@gmail.com,CANCELLED,,,,,2026-03-10 09:00:09,
113,5,3,Cristian Santos,0761161559,cristiansantos@gmail.com,COMPLETED,46.0,300.0,Cash,1.0,2026-01-30 06:51:42,2026-01-30 07:13:48
114,42,1,Fred Smith,0828412411,fredsmith@gmail.com,PENDING,,,,,2026-01-26 00:48:59,
115,39,1,Elizabeth Fowler,0747510799,elizabethfowler@gmail.com,CANCELLED,,,,,2026-02-01 02:31:42,
116,41,3,Paula Moreno,0833542784,paulamoreno@gmail.com,COMPLETED,47.0,300.0,Card,3.0,2026-02-05 07:10:24,2026-02-07 07:32:30
117,28,3,Stephanie Ross,0766670106,stephanieross@gmail.com,CANCELLED,,,,,2026-02-05 23:48:45,
118,7,2,Abigail Shaffer,0749593103,abigailshaffer@gmail.com,PENDING,,,,,2026-03-03 10:43:53,
119,9,3,Gabrielle Davis,0725534192,gabrielledavis@gmail.com,PENDING,,,,,2026-03-20 08:45:40,
120,8,2,Gina Moore,0741316475,ginamoore@gmail.com,PENDING,,,,,2026-01-27 15:03:28,
121,12,2,Jamie Arnold,0763767242,jamiearnold@gmail.com,CANCELLED,,,,,2026-02-27 19:36:01,
122,34,2,Nathan Maldonado,0734309805,nathanmaldonado@gmail.com,CANCELLED,,,,,2026-02-27 12:15:53,
123,33,2,Tricia Valencia,0784746872,triciavalencia@gmail.com,PENDING,,,,,2026-03-20 07:32:53,
124,48,2,Shane Henderson,0733158692,shanehenderson@gmail.com,CANCELLED,,,,,2026-03-07 21:39:46,
125,23,1,Ethan Adams,0746578713,ethanadams@gmail.com,PENDING,,,,,2026-03-13 19:57:11,
126,24,3,Tommy Walter,0731509839,tommywalter@gmail.com,PENDING,,,,,2026-02-14 20:51:53,
127,37,2,Sherri Baker,0739909169,sherribaker@gmail.com,COMPLETED,48.0,220.0,Cash,5.0,2026-03-16 04:08:14,2026-03-17 04:30:20
128,35,3,Debra Davidson,0820978820,debradavidson@gmail.com,CANCELLED,,,,,2026-01-22 13:46:48,
129,44,3,Anthony Humphrey,0794016400,anthonyhumphrey@gmail.com,PENDING,,,,,2026-02-01 13:57:08,
130,40,2,Brittany Farmer,0831838425,brittanyfarmer@gmail.com,PENDING,,,,,2026-03-14 14:15:32,
131,22,1,Patty Perez,0724896383,pattyperez@gmail.com,CANCELLED,,,,,2026-02-16 08:46:30,
132,27,2,Justin Baker,0793763116,justinbaker@gmail.com,COMPLETED,49.0,220.0,Transfer,5.0,2026-02-23 11:41:37,2026-02-24 12:03:43
133,35,1,Debra Davidson,0820978820,debradavidson@gmail.com,COMPLETED,50.0,150.0,Transfer,4.0,2026-02-01 06:57:46,2026-02-01 07:19:52
134,1,3,Allison Hill,0830433218,allisonhill@gmail.com,PENDING,,,,,2026-02-18 22:55:56,
135,35,1,Debra Davidson,0820978820,debradavidson@gmail.com,CANCELLED,,,,,2026-03-04 16:06:14,
136,37,1,Sherri Baker,0739909169,sherribaker@gmail.com,COMPLETED,51.0,150.0,Cash,1.0,2026-02-05 19:33:42,2026-02-06 19:55:48
137,47,1,John Pierce,0726204505,johnpierce@gmail.com,CANCELLED,,,,,2026-03-06 12:16:49,
138,14,3,Michele Williams,0763287101,michelewilliams@gmail.com,CANCELLED,,,,,2026-01-21 18:35:22,
139,3,3,Angie Henderson,0828386379,angiehenderson@gmail.com,PENDING,,,,,2026-02-16 00:46:06,
140,1,1,Allison Hill,0830433218,allisonhill@gmail.com,COMPLETED,52.0,150.0,Cash,1.0,2026-03-11 01:28:39,2026-03-12 01:50:45
141,5,1,Cristian Santos,0761161559,cristiansantos@gmail.com,PENDING,,,,,2026-02-07 19:18:59,
142,26,2,Judy Baker,0838347382,judybaker@gmail.com,COMPLETED,53.0,220.0,Card,2.0,2026-03-11 18:00:41,2026-03-12 18:22:47
143,14,1,Michele Williams,0763287101,michelewilliams@gmail.com,COMPLETED,54.0,150.0,Transfer,4.0,2026-01-31 18:58:57,2026-02-01 19:21:03
144,39,2,Elizabeth Fowler,0747510799,elizabethfowler@gmail.com,COMPLETED,55.0,220.0,Transfer,2.0,2026-02-19 10:27:15,2026-02-19 10:49:21
145,27,1,Justin Baker,0793763116,justinbaker@gmail.com,COMPLETED,56.0,150.0,Cash,2.0,2026-03-11 17:58:03,2026-03-11 18:20:09
146,9,2,Gabrielle Davis,0725534192,gabrielledavis@gmail.com,COMPLETED,57.0,220.0,Card,2.0,2026-03-21 14:01:51,2026-03-23 14:23:57
147,15,3,Dylan Miller,0722691669,dylanmiller@gmail.com,CANCELLED,,,,,2026-02-09 18:31:26,
148,15,1,Dylan Miller,0722691669,dylanmiller@gmail.com,PENDING,,,,,2026-02-05 07:10:07,
149,26,1,Judy Baker,0838347382,judybaker@gmail.com,CANCELLED,,,,,2026-02-26 18:18:35,
150,42,1,Fred Smith,0828412411,fredsmith@gmail.com,COMPLETED,58.0,150.0,Transfer,3.0,2026-02-06 03:27:50,2026-02-07 03:49:56
151,13,1,Lisa Hensley,0738849696,lisahensley@gmail.com,PENDING,,,,,2026-03-14 19:52:18,
152,32,2,James Ferrell,0797360260,jamesferrell@gmail.com,COMPLETED,59.0,220.0,Transfer,3.0,2026-03-13 22:50:28,2026-03-15 23:12:34
153,39,1,Elizabeth Fowler,0747510799,elizabethfowler@gmail.com,PENDING,,,,,2026-01-21 12:21:36,
154,49,3,Joshua Blair,0732260256,joshuablair@gmail.com,CANCELLED,,,,,2026-03-20 14:40:10,
155,32,3,James Ferrell,0797360260,jamesferrell@gmail.com,PENDING,,,,,2026-02-21 22:21:57,
156,4,1,Daniel Wagner,0740265423,danielwagner@gmail.com,PENDING,,,,,2026-03-09 21:33:40,
157,30,3,Anthony Rodriguez,0782473178,anthonyrodriguez@gmail.com,PENDING,,,,,2026-01-23 08:24:41,
158,37,1,Sherri Baker,0739909169,sherribaker@gmail.com,PENDING,,,,,2026-02-01 07:41:53,
159,23,1,Ethan Adams,0746578713,ethanadams@gmail.com,PENDING,,,,,2026-02-25 16:50:02,
160,39,3,Elizabeth Fowler,0747510799,elizabethfowler@gmail.com,COMPLETED,60.0,300.0,Card,2.0,2026-02-20 07:35:14,2026-02-20 07:57:20
161,45,1,Angelica Tucker,0762427868,angelicatucker@gmail.com,PENDING,,,,,2026-02-13 16:59:30,
162,15,3,Dylan Miller,0722691669,dylanmiller@gmail.com,PENDING,,,,,2026-01-27 02:00:10,
163,43,2,Sherry Decker,0724493534,sherrydecker@gmail.com,CANCELLED,,,,,2026-02-13 20:17:56,
164,29,1,Zachary Hicks,0761333872,zacharyhicks@gmail.com,PENDING,,,,,2026-03-17 13:03:53,
165,36,2,Jeffrey Chavez,0832191361,jeffreychavez@gmail.com,CANCELLED,,,,,2026-01-29 02:32:41,
166,13,3,Lisa Hensley,0738849696,lisahensley@gmail.com,COMPLETED,61.0,300.0,Card,4.0,2026-01-29 18:36:52,2026-01-29 18:58:58
167,32,2,James Ferrell,0797360260,jamesferrell@gmail.com,PENDING,,,,,2026-03-09 15:28:02,
168,7,2,Abigail Shaffer,0749593103,abigailshaffer@gmail.com,CANCELLED,,,,,2026-01-28 04:18:15,
169,22,3,Patty Perez,0724896383,pattyperez@gmail.com,CANCELLED,,,,,2026-03-14 04:19:22,
170,28,2,Stephanie Ross,0766670106,stephanieross@gmail.com,COMPLETED,62.0,220.0,Transfer,1.0,2026-02-02 16:04:14,2026-02-02 16:26:20
171,2,2,Noah Rhodes,0839600133,noahrhodes@gmail.com,PENDING,,,,,2026-02-02 22:12:04,
172,42,3,Fred Smith,0828412411,fredsmith@gmail.com,PENDING,,,,,2026-03-08 14:30:56,
173,45,2,Angelica Tucker,0762427868,angelicatucker@gmail.com,CANCELLED,,,,,2026-03-15 20:09:45,
174,6,3,Connie Lawrence,0740781618,connielawrence@gmail.com,PENDING,,,,,2026-02-06 11:48:04,
175,28,2,Stephanie Ross,0766670106,stephanieross@gmail.com,CANCELLED,,,,,2026-02-16 04:39:15,
176,28,3,Stephanie Ross,0766670106,stephanieross@gmail.com,PENDING,,,,,2026-03-13 16:35:47,
177,44,3,Anthony Humphrey,0794016400,anthonyhumphrey@gmail.com,CANCELLED,,,,,2026-03-21 08:29:37,
178,44,2,Anthony Humphrey,0794016400,anthonyhumphrey@gmail.com,PENDING,,,,,2026-03-03 13:00:37,
179,20,2,Carla Gray,0821543039,carlagray@gmail.com,COMPLETED,63.0,220.0,Transfer,4.0,2026-02-11 00:33:11,2026-02-11 00:55:17
180,30,2,Anthony Rodriguez,0782473178,anthonyrodriguez@gmail.com,PENDING,,,,,2026-03-14 19:40:42,
181,11,1,Monica Herrera,0823056413,monicaherrera@gmail.com,PENDING,,,,,2026-02-09 23:44:36,
182,28,1,Stephanie Ross,0766670106,stephanieross@gmail.com,COMPLETED,64.0,150.0,Card,5.0,2026-02-20 17:22:44,2026-02-20 17:44:50
183,25,1,Matthew Foster,0730103105,matthewfoster@gmail.com,PENDING,,,,,2026-03-01 04:44:48,
184,39,3,Elizabeth Fowler,0747510799,elizabethfowler@gmail.com,COMPLETED,65.0,300.0,Transfer,3.0,2026-02-26 17:09:37,2026-02-26 17:31:43
185,33,2,Tricia Valencia,0784746872,triciavalencia@gmail.com,PENDING,,,,,2026-03-04 23:52:28,
186,1,3,Allison Hill,0830433218,allisonhill@gmail.com,CANCELLED,,,,,2026-03-12 17:03:59,
187,27,1,Justin Baker,0793763116,justinbaker@gmail.com,CANCELLED,,,,,2026-03-06 07:03:59,
188,13,2,Lisa Hensley,0738849696,lisahensley@gmail.com,PENDING,,,,,2026-02-02 04:59:15,
189,41,3,Paula Moreno,0833542784,paulamoreno@gmail.com,PENDING,,,,,2026-02-14 12:41:22,
190,3,2,Angie Henderson,0828386379,angiehenderson@gmail.com,PENDING,,,,,2026-02-12 06:36:36,
191,39,3,Elizabeth Fowler,0747510799,elizabethfowler@gmail.com,CANCELLED,,,,,2026-01-27 16:13:07,
192,6,2,Connie Lawrence,0740781618,connielawrence@gmail.com,PENDING,,,,,2026-02-23 06:49:26,
193,8,1,Gina Moore,0741316475,ginamoore@gmail.com,CANCELLED,,,,,2026-01-23 12:02:27,
194,27,1,Justin Baker,0793763116,justinbaker@gmail.com,COMPLETED,66.0,150.0,Cash,1.0,2026-03-19 13:53:10,2026-03-19 14:15:16
195,9,2,Gabrielle Davis,0725534192,gabrielledavis@gmail.com,CANCELLED,,,,,2026-03-16 05:45:29,
196,37,3,Sherri Baker,0739909169,sherribaker@gmail.com,CANCELLED,,,,,2026-02-12 19:14:01,
197,33,1,Tricia Valencia,0784746872,triciavalencia@gmail.com,COMPLETED,67.0,150.0,Cash,1.0,2026-03-19 14:11:32,2026-03-20 14:33:38
198,42,1,Fred Smith,0828412411,fredsmith@gmail.com,CANCELLED,,,,,2026-02-11 20:10:16,
199,44,1,Anthony Humphrey,0794016400,anthonyhumphrey@gmail.com,PENDING,,,,,2026-01-22 03:47:00,
200,24,2,Tommy Walter,0731509839,tommywalter@gmail.com,PENDING,,,,,2026-01-28 08:27:12,
