"","booking_id","customer_id","service_id","customer_name","phone","email","payment_status","payment_id","payment_amount","payment_method","customer_rating","scheduled_date","payment_date","delay_days","day_type"
"24",12,24,3,"Tommy Walter",731509839,"tommywalter@gmail.com","COMPLETED",5,300,"Cash",5,2026-01-24,2026-01-26,2,"weekday"
"25",12,24,3,"Tommy Walter",731509839,"tommywalter@gmail.com","COMPLETED",5,300,"Cash",5,2026-01-24,2026-01-26,2,"weekday"
"26",12,24,3,"Tommy Walter",731509839,"tommywalter@gmail.com","COMPLETED",72,300,"Cash",5,2026-01-24,2026-06-30,157,"weekday"
"27",12,24,3,"Tommy Walter",731509839,"tommywalter@gmail.com","COMPLETED",72,300,"Cash",5,2026-01-24,2026-06-30,157,"weekday"
"29",14,40,1,"Brittany Farmer",831838425,"brittanyfarmer@gmail.com","COMPLETED",6,150,"Transfer",1,2026-01-30,2026-01-30,0,"weekday"
"30",14,40,1,"Brittany Farmer",831838425,"brittanyfarmer@gmail.com","COMPLETED",6,150,"Transfer",1,2026-01-30,2026-01-30,0,"weekday"
"31",14,40,1,"Brittany Farmer",831838425,"brittanyfarmer@gmail.com","COMPLETED",73,150,"Transfer",1,2026-01-30,2026-07-06,157,"weekday"
"32",14,40,1,"Brittany Farmer",831838425,"brittanyfarmer@gmail.com","COMPLETED",73,150,"Transfer",1,2026-01-30,2026-07-06,157,"weekday"
"34",16,3,1,"Angie Henderson",828386379,"angiehenderson@gmail.com","COMPLETED",7,150,"Cash",2,2026-02-13,2026-02-15,2,"weekend"
"35",16,3,1,"Angie Henderson",828386379,"angiehenderson@gmail.com","COMPLETED",7,150,"Cash",2,2026-02-13,2026-02-15,2,"weekend"
"36",16,3,1,"Angie Henderson",828386379,"angiehenderson@gmail.com","COMPLETED",74,150,"Cash",2,2026-02-13,2026-08-10,178,"weekday"
"37",16,3,1,"Angie Henderson",828386379,"angiehenderson@gmail.com","COMPLETED",74,150,"Cash",2,2026-02-13,2026-08-10,178,"weekday"
"38",17,22,3,"Patty Perez",724896383,"pattyperez@gmail.com","COMPLETED",8,300,"Transfer",2,2026-03-11,2026-03-11,0,"weekday"
"39",17,22,3,"Patty Perez",724896383,"pattyperez@gmail.com","COMPLETED",8,300,"Transfer",2,2026-03-11,2026-03-11,0,"weekday"
"40",17,22,3,"Patty Perez",724896383,"pattyperez@gmail.com","COMPLETED",75,300,"Transfer",2,2026-03-11,2026-07-31,142,"weekday"
"41",17,22,3,"Patty Perez",724896383,"pattyperez@gmail.com","COMPLETED",75,300,"Transfer",2,2026-03-11,2026-07-31,142,"weekday"
"42",18,2,1,"Noah Rhodes",839600133,"noahrhodes@gmail.com","COMPLETED",9,150,"Cash",2,2026-03-20,2026-03-22,2,"weekend"
"43",18,2,1,"Noah Rhodes",839600133,"noahrhodes@gmail.com","COMPLETED",9,150,"Cash",2,2026-03-20,2026-03-22,2,"weekend"
"44",18,2,1,"Noah Rhodes",839600133,"noahrhodes@gmail.com","COMPLETED",76,150,"Cash",2,2026-03-20,2026-07-03,105,"weekday"
"45",18,2,1,"Noah Rhodes",839600133,"noahrhodes@gmail.com","COMPLETED",76,150,"Cash",2,2026-03-20,2026-07-03,105,"weekday"
"46",19,24,2,"Tommy Walter",731509839,"tommywalter@gmail.com","COMPLETED",10,220,"Cash",3,2026-01-24,2026-01-24,0,"weekend"
"47",19,24,2,"Tommy Walter",731509839,"tommywalter@gmail.com","COMPLETED",10,220,"Cash",3,2026-01-24,2026-01-24,0,"weekend"
"48",19,24,2,"Tommy Walter",731509839,"tommywalter@gmail.com","COMPLETED",77,220,"Cash",3,2026-01-24,2026-07-28,185,"weekday"
"49",19,24,2,"Tommy Walter",731509839,"tommywalter@gmail.com","COMPLETED",77,220,"Cash",3,2026-01-24,2026-07-28,185,"weekday"
"51",21,30,2,"Anthony Rodriguez",782473178,"anthonyrodriguez@gmail.com","COMPLETED",11,220,"Card",5,2026-02-09,2026-02-10,1,"weekday"
"52",21,30,2,"Anthony Rodriguez",782473178,"anthonyrodriguez@gmail.com","COMPLETED",11,220,"Card",5,2026-02-09,2026-02-10,1,"weekday"
"53",21,30,2,"Anthony Rodriguez",782473178,"anthonyrodriguez@gmail.com","COMPLETED",78,220,"Card",5,2026-02-09,2026-07-15,156,"weekday"
"54",21,30,2,"Anthony Rodriguez",782473178,"anthonyrodriguez@gmail.com","COMPLETED",78,220,"Card",5,2026-02-09,2026-07-15,156,"weekday"
"55",22,38,3,"Cassandra Gaines",764353462,"cassandragaines@gmail.com","COMPLETED",12,300,"Card",5,2026-03-15,2026-03-15,0,"weekend"
"56",22,38,3,"Cassandra Gaines",764353462,"cassandragaines@gmail.com","COMPLETED",12,300,"Card",5,2026-03-15,2026-03-15,0,"weekend"
"57",22,38,3,"Cassandra Gaines",764353462,"cassandragaines@gmail.com","COMPLETED",79,300,"Card",5,2026-03-15,2026-08-01,139,"weekend"
"58",22,38,3,"Cassandra Gaines",764353462,"cassandragaines@gmail.com","COMPLETED",79,300,"Card",5,2026-03-15,2026-08-01,139,"weekend"
"60",24,21,1,"Margaret Hawkins DDS",831718227,"margaretdds@gmail.com","COMPLETED",13,150,"Transfer",1,2026-02-11,2026-02-13,2,"weekday"
"61",24,21,1,"Margaret Hawkins DDS",831718227,"margaretdds@gmail.com","COMPLETED",13,150,"Transfer",1,2026-02-11,2026-02-13,2,"weekday"
"62",24,21,1,"Margaret Hawkins DDS",831718227,"margaretdds@gmail.com","COMPLETED",80,150,"Transfer",1,2026-02-11,2026-06-26,135,"weekday"
"63",24,21,1,"Margaret Hawkins DDS",831718227,"margaretdds@gmail.com","COMPLETED",80,150,"Transfer",1,2026-02-11,2026-06-26,135,"weekday"
"70",31,27,2,"Justin Baker",793763116,"justinbaker@gmail.com","COMPLETED",14,220,"Card",1,2026-02-23,2026-02-23,0,"weekday"
"71",31,27,2,"Justin Baker",793763116,"justinbaker@gmail.com","COMPLETED",14,220,"Card",1,2026-02-23,2026-02-23,0,"weekday"
"72",31,27,2,"Justin Baker",793763116,"justinbaker@gmail.com","COMPLETED",81,220,"Card",1,2026-02-23,2026-06-26,123,"weekday"
"73",31,27,2,"Justin Baker",793763116,"justinbaker@gmail.com","COMPLETED",81,220,"Card",1,2026-02-23,2026-06-26,123,"weekday"
"75",33,28,3,"Stephanie Ross",766670106,"stephanieross@gmail.com","COMPLETED",15,300,"Transfer",2,2026-02-05,2026-02-05,0,"weekday"
"76",33,28,3,"Stephanie Ross",766670106,"stephanieross@gmail.com","COMPLETED",15,300,"Transfer",2,2026-02-05,2026-02-05,0,"weekday"
"77",33,28,3,"Stephanie Ross",766670106,"stephanieross@gmail.com","COMPLETED",82,300,"Transfer",2,2026-02-05,2026-07-03,148,"weekday"
"78",33,28,3,"Stephanie Ross",766670106,"stephanieross@gmail.com","COMPLETED",82,300,"Transfer",2,2026-02-05,2026-07-03,148,"weekday"
"83",38,3,2,"Angie Henderson",828386379,"angiehenderson@gmail.com","COMPLETED",16,220,"Card",1,2026-02-27,2026-02-27,0,"weekday"
"84",38,3,2,"Angie Henderson",828386379,"angiehenderson@gmail.com","COMPLETED",16,220,"Card",1,2026-02-27,2026-02-27,0,"weekday"
"85",38,3,2,"Angie Henderson",828386379,"angiehenderson@gmail.com","COMPLETED",83,220,"Card",1,2026-02-27,2026-07-26,149,"weekend"
"86",38,3,2,"Angie Henderson",828386379,"angiehenderson@gmail.com","COMPLETED",83,220,"Card",1,2026-02-27,2026-07-26,149,"weekend"
"87",39,37,1,"Sherri Baker",739909169,"sherribaker@gmail.com","COMPLETED",17,150,"Cash",3,2026-01-30,2026-01-31,1,"weekend"
"88",39,37,1,"Sherri Baker",739909169,"sherribaker@gmail.com","COMPLETED",17,150,"Cash",3,2026-01-30,2026-01-31,1,"weekend"
"89",39,37,1,"Sherri Baker",739909169,"sherribaker@gmail.com","COMPLETED",84,150,"Cash",3,2026-01-30,2026-06-24,145,"weekday"
"90",39,37,1,"Sherri Baker",739909169,"sherribaker@gmail.com","COMPLETED",84,150,"Cash",3,2026-01-30,2026-06-24,145,"weekday"
"91",40,7,2,"Abigail Shaffer",749593103,"abigailshaffer@gmail.com","COMPLETED",18,220,"Transfer",5,2026-02-25,2026-02-25,0,"weekday"
"92",40,7,2,"Abigail Shaffer",749593103,"abigailshaffer@gmail.com","COMPLETED",18,220,"Transfer",5,2026-02-25,2026-02-25,0,"weekday"
"93",40,7,2,"Abigail Shaffer",749593103,"abigailshaffer@gmail.com","COMPLETED",85,220,"Transfer",5,2026-02-25,2026-07-03,128,"weekday"
"94",40,7,2,"Abigail Shaffer",749593103,"abigailshaffer@gmail.com","COMPLETED",85,220,"Transfer",5,2026-02-25,2026-07-03,128,"weekday"
"99",45,4,1,"Daniel Wagner",740265423,"danielwagner@gmail.com","COMPLETED",19,150,"Transfer",2,2026-03-07,2026-03-08,1,"weekend"
"100",45,4,1,"Daniel Wagner",740265423,"danielwagner@gmail.com","COMPLETED",19,150,"Transfer",2,2026-03-07,2026-03-08,1,"weekend"
"101",45,4,1,"Daniel Wagner",740265423,"danielwagner@gmail.com","COMPLETED",86,150,"Transfer",2,2026-03-07,2026-08-01,147,"weekend"
"102",45,4,1,"Daniel Wagner",740265423,"danielwagner@gmail.com","COMPLETED",86,150,"Transfer",2,2026-03-07,2026-08-01,147,"weekend"
"104",47,14,3,"Michele Williams",763287101,"michelewilliams@gmail.com","COMPLETED",20,300,"Cash",1,2026-02-02,2026-02-03,1,"weekday"
"105",47,14,3,"Michele Williams",763287101,"michelewilliams@gmail.com","COMPLETED",20,300,"Cash",1,2026-02-02,2026-02-03,1,"weekday"
"106",47,14,3,"Michele Williams",763287101,"michelewilliams@gmail.com","COMPLETED",87,300,"Cash",1,2026-02-02,2026-07-29,177,"weekday"
"107",47,14,3,"Michele Williams",763287101,"michelewilliams@gmail.com","COMPLETED",87,300,"Cash",1,2026-02-02,2026-07-29,177,"weekday"
"109",49,9,1,"Gabrielle Davis",725534192,"gabrielledavis@gmail.com","COMPLETED",21,150,"Transfer",3,2026-01-29,2026-01-29,0,"weekday"
"110",49,9,1,"Gabrielle Davis",725534192,"gabrielledavis@gmail.com","COMPLETED",21,150,"Transfer",3,2026-01-29,2026-01-29,0,"weekday"
"111",49,9,1,"Gabrielle Davis",725534192,"gabrielledavis@gmail.com","COMPLETED",88,150,"Transfer",3,2026-01-29,2026-08-03,186,"weekday"
"112",49,9,1,"Gabrielle Davis",725534192,"gabrielledavis@gmail.com","COMPLETED",88,150,"Transfer",3,2026-01-29,2026-08-03,186,"weekday"
"114",51,2,3,"Noah Rhodes",839600133,"noahrhodes@gmail.com","COMPLETED",22,300,"Transfer",3,2026-02-18,2026-02-18,0,"weekday"
"115",51,2,3,"Noah Rhodes",839600133,"noahrhodes@gmail.com","COMPLETED",22,300,"Transfer",3,2026-02-18,2026-02-18,0,"weekday"
"116",51,2,3,"Noah Rhodes",839600133,"noahrhodes@gmail.com","COMPLETED",89,300,"Transfer",3,2026-02-18,2026-07-06,138,"weekday"
"117",51,2,3,"Noah Rhodes",839600133,"noahrhodes@gmail.com","COMPLETED",89,300,"Transfer",3,2026-02-18,2026-07-06,138,"weekday"
"123",57,8,3,"Gina Moore",741316475,"ginamoore@gmail.com","COMPLETED",23,300,"Card",1,2026-02-12,2026-02-12,0,"weekday"
"124",57,8,3,"Gina Moore",741316475,"ginamoore@gmail.com","COMPLETED",23,300,"Card",1,2026-02-12,2026-02-12,0,"weekday"
"125",57,8,3,"Gina Moore",741316475,"ginamoore@gmail.com","COMPLETED",90,300,"Card",1,2026-02-12,2026-06-23,131,"weekday"
"126",57,8,3,"Gina Moore",741316475,"ginamoore@gmail.com","COMPLETED",90,300,"Card",1,2026-02-12,2026-06-23,131,"weekday"
"127",58,47,1,"John Pierce",726204505,"johnpierce@gmail.com","COMPLETED",24,150,"Transfer",5,2026-02-18,2026-02-20,2,"weekday"
"128",58,47,1,"John Pierce",726204505,"johnpierce@gmail.com","COMPLETED",24,150,"Transfer",5,2026-02-18,2026-02-20,2,"weekday"
"129",58,47,1,"John Pierce",726204505,"johnpierce@gmail.com","COMPLETED",91,150,"Transfer",5,2026-02-18,2026-07-20,152,"weekday"
"130",58,47,1,"John Pierce",726204505,"johnpierce@gmail.com","COMPLETED",91,150,"Transfer",5,2026-02-18,2026-07-20,152,"weekday"
"133",61,17,2,"Holly Wood",761462704,"hollywood@gmail.com","COMPLETED",25,220,"Cash",1,2026-01-31,2026-01-31,0,"weekend"
"134",61,17,2,"Holly Wood",761462704,"hollywood@gmail.com","COMPLETED",25,220,"Cash",1,2026-01-31,2026-01-31,0,"weekend"
"135",61,17,2,"Holly Wood",761462704,"hollywood@gmail.com","COMPLETED",92,220,"Cash",1,2026-01-31,2026-08-13,194,"weekday"
"136",61,17,2,"Holly Wood",761462704,"hollywood@gmail.com","COMPLETED",92,220,"Cash",1,2026-01-31,2026-08-13,194,"weekday"
"137",62,36,1,"Jeffrey Chavez",832191361,"jeffreychavez@gmail.com","COMPLETED",26,150,"Card",2,2026-02-27,2026-02-28,1,"weekend"
"138",62,36,1,"Jeffrey Chavez",832191361,"jeffreychavez@gmail.com","COMPLETED",26,150,"Card",2,2026-02-27,2026-02-28,1,"weekend"
"139",62,36,1,"Jeffrey Chavez",832191361,"jeffreychavez@gmail.com","COMPLETED",93,150,"Card",2,2026-02-27,2026-08-03,157,"weekday"
"140",62,36,1,"Jeffrey Chavez",832191361,"jeffreychavez@gmail.com","COMPLETED",93,150,"Card",2,2026-02-27,2026-08-03,157,"weekday"
"141",63,50,3,"Eric Carney",734216073,"ericcarney@gmail.com","COMPLETED",27,300,"Card",1,2026-02-17,2026-02-17,0,"weekday"
"142",63,50,3,"Eric Carney",734216073,"ericcarney@gmail.com","COMPLETED",27,300,"Card",1,2026-02-17,2026-02-17,0,"weekday"
"143",63,50,3,"Eric Carney",734216073,"ericcarney@gmail.com","COMPLETED",94,300,"Card",1,2026-02-17,2026-08-05,169,"weekday"
"144",63,50,3,"Eric Carney",734216073,"ericcarney@gmail.com","COMPLETED",94,300,"Card",1,2026-02-17,2026-08-05,169,"weekday"
"153",72,26,3,"Judy Baker",838347382,"judybaker@gmail.com","COMPLETED",28,300,"Cash",3,2026-03-21,2026-03-23,2,"weekday"
"154",72,26,3,"Judy Baker",838347382,"judybaker@gmail.com","COMPLETED",28,300,"Cash",3,2026-03-21,2026-03-23,2,"weekday"
"155",72,26,3,"Judy Baker",838347382,"judybaker@gmail.com","COMPLETED",95,300,"Cash",3,2026-03-21,2026-06-26,97,"weekday"
"156",72,26,3,"Judy Baker",838347382,"judybaker@gmail.com","COMPLETED",95,300,"Cash",3,2026-03-21,2026-06-26,97,"weekday"
"160",76,36,2,"Jeffrey Chavez",832191361,"jeffreychavez@gmail.com","COMPLETED",29,220,"Cash",1,2026-02-06,2026-02-06,0,"weekday"
"161",76,36,2,"Jeffrey Chavez",832191361,"jeffreychavez@gmail.com","COMPLETED",29,220,"Cash",1,2026-02-06,2026-02-06,0,"weekday"
"162",76,36,2,"Jeffrey Chavez",832191361,"jeffreychavez@gmail.com","COMPLETED",96,220,"Cash",1,2026-02-06,2026-08-11,186,"weekday"
"163",76,36,2,"Jeffrey Chavez",832191361,"jeffreychavez@gmail.com","COMPLETED",96,220,"Cash",1,2026-02-06,2026-08-11,186,"weekday"
"166",79,48,1,"Shane Henderson",733158692,"shanehenderson@gmail.com","COMPLETED",30,150,"Card",5,2026-02-16,2026-02-18,2,"weekday"
"167",79,48,1,"Shane Henderson",733158692,"shanehenderson@gmail.com","COMPLETED",30,150,"Card",5,2026-02-16,2026-02-18,2,"weekday"
"168",79,48,1,"Shane Henderson",733158692,"shanehenderson@gmail.com","COMPLETED",97,150,"Card",5,2026-02-16,2026-08-16,181,"weekend"
"169",79,48,1,"Shane Henderson",733158692,"shanehenderson@gmail.com","COMPLETED",97,150,"Card",5,2026-02-16,2026-08-16,181,"weekend"
"172",82,14,3,"Michele Williams",763287101,"michelewilliams@gmail.com","COMPLETED",31,300,"Transfer",4,2026-02-21,2026-02-23,2,"weekday"
"173",82,14,3,"Michele Williams",763287101,"michelewilliams@gmail.com","COMPLETED",31,300,"Transfer",4,2026-02-21,2026-02-23,2,"weekday"
"174",82,14,3,"Michele Williams",763287101,"michelewilliams@gmail.com","COMPLETED",98,300,"Transfer",4,2026-02-21,2026-07-30,159,"weekday"
"175",82,14,3,"Michele Williams",763287101,"michelewilliams@gmail.com","COMPLETED",98,300,"Transfer",4,2026-02-21,2026-07-30,159,"weekday"
"179",86,16,3,"Brian Ramirez",798480184,"brianramirez@gmail.com","COMPLETED",32,300,"Card",1,2026-02-21,2026-02-21,0,"weekend"
"180",86,16,3,"Brian Ramirez",798480184,"brianramirez@gmail.com","COMPLETED",32,300,"Card",1,2026-02-21,2026-02-21,0,"weekend"
"181",86,16,3,"Brian Ramirez",798480184,"brianramirez@gmail.com","COMPLETED",99,300,"Card",1,2026-02-21,2026-07-18,147,"weekend"
"182",86,16,3,"Brian Ramirez",798480184,"brianramirez@gmail.com","COMPLETED",99,300,"Card",1,2026-02-21,2026-07-18,147,"weekend"
"183",87,45,3,"Angelica Tucker",762427868,"angelicatucker@gmail.com","COMPLETED",33,300,"Cash",5,2026-03-01,2026-03-02,1,"weekday"
"184",87,45,3,"Angelica Tucker",762427868,"angelicatucker@gmail.com","COMPLETED",33,300,"Cash",5,2026-03-01,2026-03-02,1,"weekday"
"185",87,45,3,"Angelica Tucker",762427868,"angelicatucker@gmail.com","COMPLETED",100,300,"Cash",5,2026-03-01,2026-07-13,134,"weekday"
"186",87,45,3,"Angelica Tucker",762427868,"angelicatucker@gmail.com","COMPLETED",100,300,"Cash",5,2026-03-01,2026-07-13,134,"weekday"
"187",88,18,2,"Derek Zuniga",728148932,"derekzuniga@gmail.com","COMPLETED",34,220,"Card",5,2026-02-16,2026-02-18,2,"weekday"
"188",88,18,2,"Derek Zuniga",728148932,"derekzuniga@gmail.com","COMPLETED",34,220,"Card",5,2026-02-16,2026-02-18,2,"weekday"
"189",88,18,2,"Derek Zuniga",728148932,"derekzuniga@gmail.com","COMPLETED",101,220,"Card",5,2026-02-16,2026-07-09,143,"weekday"
"190",88,18,2,"Derek Zuniga",728148932,"derekzuniga@gmail.com","COMPLETED",101,220,"Card",5,2026-02-16,2026-07-09,143,"weekday"
"192",90,24,3,"Tommy Walter",731509839,"tommywalter@gmail.com","COMPLETED",35,300,"Cash",3,2026-02-10,2026-02-10,0,"weekday"
"193",90,24,3,"Tommy Walter",731509839,"tommywalter@gmail.com","COMPLETED",35,300,"Cash",3,2026-02-10,2026-02-10,0,"weekday"
"194",90,24,3,"Tommy Walter",731509839,"tommywalter@gmail.com","COMPLETED",102,300,"Cash",3,2026-02-10,2026-07-10,150,"weekday"
"195",90,24,3,"Tommy Walter",731509839,"tommywalter@gmail.com","COMPLETED",102,300,"Cash",3,2026-02-10,2026-07-10,150,"weekday"
"196",91,26,1,"Judy Baker",838347382,"judybaker@gmail.com","COMPLETED",36,150,"Card",5,2026-03-17,2026-03-17,0,"weekday"
"197",91,26,1,"Judy Baker",838347382,"judybaker@gmail.com","COMPLETED",36,150,"Card",5,2026-03-17,2026-03-17,0,"weekday"
"198",91,26,1,"Judy Baker",838347382,"judybaker@gmail.com","COMPLETED",103,150,"Card",5,2026-03-17,2026-07-13,118,"weekday"
"199",91,26,1,"Judy Baker",838347382,"judybaker@gmail.com","COMPLETED",103,150,"Card",5,2026-03-17,2026-07-13,118,"weekday"
"203",95,29,2,"Zachary Hicks",761333872,"zacharyhicks@gmail.com","COMPLETED",37,220,"Transfer",5,2026-02-28,2026-03-01,1,"weekend"
"204",95,29,2,"Zachary Hicks",761333872,"zacharyhicks@gmail.com","COMPLETED",37,220,"Transfer",5,2026-02-28,2026-03-01,1,"weekend"
"205",95,29,2,"Zachary Hicks",761333872,"zacharyhicks@gmail.com","COMPLETED",104,220,"Transfer",5,2026-02-28,2026-08-01,154,"weekend"
"206",95,29,2,"Zachary Hicks",761333872,"zacharyhicks@gmail.com","COMPLETED",104,220,"Transfer",5,2026-02-28,2026-08-01,154,"weekend"
"207",96,15,1,"Dylan Miller",722691669,"dylanmiller@gmail.com","COMPLETED",38,150,"Card",5,2026-03-07,2026-03-09,2,"weekday"
"208",96,15,1,"Dylan Miller",722691669,"dylanmiller@gmail.com","COMPLETED",38,150,"Card",5,2026-03-07,2026-03-09,2,"weekday"
"209",96,15,1,"Dylan Miller",722691669,"dylanmiller@gmail.com","COMPLETED",105,150,"Card",5,2026-03-07,2026-07-20,135,"weekday"
"210",96,15,1,"Dylan Miller",722691669,"dylanmiller@gmail.com","COMPLETED",105,150,"Card",5,2026-03-07,2026-07-20,135,"weekday"
"213",99,25,1,"Matthew Foster",730103105,"matthewfoster@gmail.com","COMPLETED",39,150,"Card",5,2026-02-04,2026-02-06,2,"weekday"
"214",99,25,1,"Matthew Foster",730103105,"matthewfoster@gmail.com","COMPLETED",39,150,"Card",5,2026-02-04,2026-02-06,2,"weekday"
"215",99,25,1,"Matthew Foster",730103105,"matthewfoster@gmail.com","COMPLETED",106,150,"Card",5,2026-02-04,2026-08-03,180,"weekday"
"216",99,25,1,"Matthew Foster",730103105,"matthewfoster@gmail.com","COMPLETED",106,150,"Card",5,2026-02-04,2026-08-03,180,"weekday"
"217",100,7,2,"Abigail Shaffer",749593103,"abigailshaffer@gmail.com","COMPLETED",40,220,"Cash",2,2026-02-14,2026-02-14,0,"weekend"
"218",100,7,2,"Abigail Shaffer",749593103,"abigailshaffer@gmail.com","COMPLETED",40,220,"Cash",2,2026-02-14,2026-02-14,0,"weekend"
"219",100,7,2,"Abigail Shaffer",749593103,"abigailshaffer@gmail.com","COMPLETED",107,220,"Cash",2,2026-02-14,2026-08-11,178,"weekday"
"220",100,7,2,"Abigail Shaffer",749593103,"abigailshaffer@gmail.com","COMPLETED",107,220,"Cash",2,2026-02-14,2026-08-11,178,"weekday"
"221",101,9,2,"Gabrielle Davis",725534192,"gabrielledavis@gmail.com","COMPLETED",41,220,"Cash",2,2026-03-16,2026-03-16,0,"weekday"
"222",101,9,2,"Gabrielle Davis",725534192,"gabrielledavis@gmail.com","COMPLETED",41,220,"Cash",2,2026-03-16,2026-03-16,0,"weekday"
"223",101,9,2,"Gabrielle Davis",725534192,"gabrielledavis@gmail.com","COMPLETED",108,220,"Cash",2,2026-03-16,2026-06-27,103,"weekend"
"224",101,9,2,"Gabrielle Davis",725534192,"gabrielledavis@gmail.com","COMPLETED",108,220,"Cash",2,2026-03-16,2026-06-27,103,"weekend"
"226",103,1,2,"Allison Hill",830433218,"allisonhill@gmail.com","COMPLETED",42,220,"Cash",3,2026-02-15,2026-02-16,1,"weekday"
"227",103,1,2,"Allison Hill",830433218,"allisonhill@gmail.com","COMPLETED",42,220,"Cash",3,2026-02-15,2026-02-16,1,"weekday"
"228",103,1,2,"Allison Hill",830433218,"allisonhill@gmail.com","COMPLETED",109,220,"Cash",3,2026-02-15,2026-08-09,175,"weekend"
"229",103,1,2,"Allison Hill",830433218,"allisonhill@gmail.com","COMPLETED",109,220,"Cash",3,2026-02-15,2026-08-09,175,"weekend"
"231",105,8,3,"Gina Moore",741316475,"ginamoore@gmail.com","COMPLETED",43,300,"Card",1,2026-03-04,2026-03-05,1,"weekday"
"232",105,8,3,"Gina Moore",741316475,"ginamoore@gmail.com","COMPLETED",43,300,"Card",1,2026-03-04,2026-03-05,1,"weekday"
"233",105,8,3,"Gina Moore",741316475,"ginamoore@gmail.com","COMPLETED",110,300,"Card",1,2026-03-04,2026-08-06,155,"weekday"
"234",105,8,3,"Gina Moore",741316475,"ginamoore@gmail.com","COMPLETED",110,300,"Card",1,2026-03-04,2026-08-06,155,"weekday"
"235",106,24,1,"Tommy Walter",731509839,"tommywalter@gmail.com","COMPLETED",44,150,"Transfer",5,2026-03-19,2026-03-21,2,"weekend"
"236",106,24,1,"Tommy Walter",731509839,"tommywalter@gmail.com","COMPLETED",44,150,"Transfer",5,2026-03-19,2026-03-21,2,"weekend"
"237",106,24,1,"Tommy Walter",731509839,"tommywalter@gmail.com","COMPLETED",111,150,"Transfer",5,2026-03-19,2026-07-15,118,"weekday"
"238",106,24,1,"Tommy Walter",731509839,"tommywalter@gmail.com","COMPLETED",111,150,"Transfer",5,2026-03-19,2026-07-15,118,"weekday"
"240",108,17,1,"Holly Wood",761462704,"hollywood@gmail.com","COMPLETED",45,150,"Cash",1,2026-02-25,2026-02-27,2,"weekday"
"241",108,17,1,"Holly Wood",761462704,"hollywood@gmail.com","COMPLETED",45,150,"Cash",1,2026-02-25,2026-02-27,2,"weekday"
"242",108,17,1,"Holly Wood",761462704,"hollywood@gmail.com","COMPLETED",112,150,"Cash",1,2026-02-25,2026-07-23,148,"weekday"
"243",108,17,1,"Holly Wood",761462704,"hollywood@gmail.com","COMPLETED",112,150,"Cash",1,2026-02-25,2026-07-23,148,"weekday"
"248",113,5,3,"Cristian Santos",761161559,"cristiansantos@gmail.com","COMPLETED",46,300,"Cash",1,2026-01-30,2026-01-30,0,"weekday"
